Country,Year,PM2.5,PM10,NO2,Depression (%),Anxiety disorders (%),PM2.5/NO2 Ratio,Pollution Category,Depression Change (%),Anxiety Change (%)
Mexico,2013,25.502727272727277,52.003,24.36357142857143,2.761886,3.179422,1.04675652120608,Medium,0.0025260000000000282,0.0018000000000002458
Mexico,2014,23.052727272727275,45.08055555555556,24.44,2.766085,3.181159,0.9432376134503795,Medium,0.004198999999999842,0.0017369999999998775
Mexico,2015,24.638125,43.770833333333336,23.83692307692308,2.772136,3.182934,1.033611801342455,Medium,0.006051000000000251,0.00177499999999986
Mexico,2016,22.24714285714285,43.96416666666667,23.5925,2.779875,3.184675,0.9429752191222994,Medium,0.00773899999999994,0.0017409999999999926
Mongolia,2011,132.0,232.0,49.0,3.576211,2.519978,2.693877551020408,High,,
Mongolia,2012,106.0,253.0,50.0,3.573164,2.525246,2.12,High,-0.003047000000000022,0.00526800000000005
Mongolia,2013,72.06,194.6,57.0,3.56871,2.53239,1.2642105263157895,High,-0.004453999999999958,0.007143999999999817
Mongolia,2014,64.21,186.5,39.0,3.560252,2.54142,1.6464102564102563,High,-0.008457999999999632,0.009030000000000094
Mongolia,2015,75.0,141.0,37.0,3.550133,2.551804,2.027027027027027,High,-0.010118999999999989,0.010384000000000171
Netherlands,2010,16.920526315789473,25.34029411764706,25.18342857142857,4.036617,6.52252,0.6718912902505407,Medium,,
Netherlands,2013,14.3271875,21.87839285714286,23.470769230769232,4.030876,6.546468,0.6104268402595701,Medium,-0.005740999999999552,0.02394799999999986
Netherlands,2014,13.5278125,20.947222222222223,23.088979591836736,4.031669,6.561376,0.5858991059432894,Medium,0.0007929999999998216,0.014908000000000143
Netherlands,2015,12.5436,19.17222222222222,21.693653846153843,4.028566,6.578979,0.5782151816819879,Medium,-0.0031030000000003,0.017603000000000257
Netherlands,2016,10.841612903225805,18.031960784313725,22.398000000000003,4.028952,6.598856,0.4840437942327799,Low,0.0003860000000006636,0.019876999999999256
Netherlands,2017,11.092058823529412,18.80549019607843,21.72352941176471,4.026854,6.620242,0.5106011372867587,Low,-0.0020980000000001553,0.02138600000000057
New Zealand,2014,10.025,16.978484848484847,12.3825,3.967374,8.539198,0.8096103371693923,Low,,
New Zealand,2015,7.800909090909091,16.261764705882353,9.753333333333332,3.967735,8.539694,0.799819797427453,Low,0.0003609999999998337,0.000496000000000052
New Zealand,2016,8.94357142857143,15.948484848484847,9.47,3.967684,8.539988,0.9444109217076483,Low,-5.099999999957916e-05,0.00029399999999846216
New Zealand,2017,11.382222222222222,18.90153846153846,22.51,3.971265,8.539931,0.505651809072511,Low,0.0035809999999996123,-5.699999999997374e-05
Norway,2010,10.55,20.74230769230769,30.13153846153846,3.585173,7.61844,0.35013147481555235,Low,,
Norway,2013,8.92125,20.698,30.37181818181818,3.619685,7.6066,0.29373447274686465,Low,0.034511999999999876,-0.011839999999999407
Norway,2014,7.22,16.76611111111111,21.05235294117647,3.646711,7.60143,0.34295453910419404,Low,0.027025999999999772,-0.005170000000000563
Norway,2015,6.521875,15.535,21.5405,3.681866,7.596146,0.3027726840138344,Low,0.03515500000000005,-0.005283999999999622
Norway,2016,6.5295000000000005,14.564,21.10818181818182,3.723569,7.590933,0.3093350273482924,Low,0.041703000000000046,-0.005213000000000356
Norway,2017,6.038333333333333,13.15,19.135185185185183,3.77191,7.585503,0.31556179231588116,Low,0.04834100000000019,-0.005429999999999602
Peru,2010,30.57,68.22333333333333,19.1425,2.263609,4.256687,1.5969700927256107,Medium,,
Peru,2011,36.0625,58.84,12.775,2.262397,4.257831,2.822896281800391,High,-0.001212000000000213,0.0011440000000000339
Peru,2012,30.37,60.75333333333333,14.5975,2.261685,4.258912,2.080493235143004,Medium,-0.0007120000000000459,0.0010809999999992215
Peru,2013,34.52166666666667,65.3409090909091,19.64,2.26368,4.259953,1.7577223353699933,Medium,0.001994999999999969,0.0010410000000007358
Peru,2014,32.928333333333335,72.49384615384616,17.455714285714286,2.264655,4.260583,1.8863927762773822,Medium,0.0009749999999999481,0.0006299999999992423
Peru,2015,27.425,74.98615384615385,16.503,2.267037,4.260744,1.6618190632006302,Medium,0.0023820000000003283,0.0001610000000002998
Peru,2016,27.5,79.36999999999999,29.692857142857143,2.269521,4.26044,0.926148664902574,Medium,0.0024839999999999307,-0.00030399999999985994
Peru,2017,23.398,65.87666666666667,26.875,2.276321,4.259925,0.8706232558139535,Medium,0.006799999999999695,-0.0005150000000000432
Poland,2010,29.421463414634147,37.05213235294118,17.919270833333332,2.28315,3.461724,1.641889543848207,Medium,,
